OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,DP04_0001E,DP04_0002E,DP04_0003E,DP04_0004E,DP04_0005E,DP04_0006E,DP04_0007E,DP04_0008E,DP04_0009E,DP04_0010E,DP04_0011E,DP04_0012E,DP04_0013E,DP04_0014E,DP04_0015E,DP04_0016E,DP04_0017E,DP04_0018E,DP04_0019E,DP04_0020E,DP04_0021E,DP04_0022E,DP04_0023E,DP04_0024E,DP04_0025E,DP04_0026E,DP04_0027E,DP04_0028E,DP04_0029E,DP04_0030E,DP04_0031E,DP04_0032E,DP04_0033E,DP04_0034E,DP04_0035E,DP04_0036E,DP04_0037E,DP04_0038E,DP04_0039E,DP04_0040E,DP04_0041E,DP04_0042E,DP04_0043E,DP04_0044E,DP04_0045E,DP04_0046E,DP04_0047E,DP04_0048E,DP04_0049E,DP04_0050E,DP04_0051E,DP04_0052E,DP04_0053E,DP04_0054E,DP04_0055E,DP04_0056E,DP04_0057E,DP04_0058E,DP04_0059E,DP04_0060E,DP04_0061E,DP04_0062E,DP04_0063E,DP04_0064E,DP04_0065E,DP04_0066E,DP04_0067E,DP04_0068E,DP04_0069E,DP04_0070E,DP04_0071E,DP04_0072E,DP04_0073E,DP04_0074E,DP04_0075E,DP04_0076E,DP04_0077E,DP04_0078E,DP04_0079E,DP04_0080E,DP04_0081E,DP04_0082E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0087E,DP04_0088E,DP04_0089E,DP04_0090E,DP04_0091E,DP04_0092E,DP04_0093E,DP04_0094E,DP04_0095E,DP04_0096E,DP04_0097E,DP04_0098E,DP04_0099E,DP04_0100E,DP04_0101E,DP04_0102E,DP04_0103E,DP04_0104E,DP04_0105E,DP04_0106E,DP04_0107E,DP04_0108E,DP04_0109E,DP04_0110E,DP04_0111E,DP04_0112E,DP04_0113E,DP04_0114E,DP04_0115E,DP04_0116E,DP04_0117E,DP04_0118E,DP04_0119E,DP04_0120E,DP04_0121E,DP04_0122E,DP04_0123E,DP04_0124E,DP04_0125E,DP04_0126E,DP04_0127E,DP04_0128E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0134E,DP04_0135E,DP04_0136E,DP04_0137E,DP04_0138E,DP04_0139E,DP04_0140E,DP04_0141E,DP04_0142E,DP04_0143E,GIS_ID,SHAPEAREA,SHAPELEN
66,11,001,002802,11001002802,28.02,Census Tract 28.02,G5020,S,229696,0,+38.9294344,-077.0346327,2269,2228,41,0,1.1,2269,15,108,37,55,107,108,1839,0,0,2269,74,26,295,15,41,290,44,45,183,1256,2269,458,368,887,261,180,20,15,61,19,2.8,2269,487,1112,523,66,34,47,2228,399,1829,1.73,2.33,2228,329,354,835,354,178,178,2228,1261,774,174,19,2228,605,0,1525,0,0,0,32,13,53,2228,6,6,163,2228,2040,0,188,399,16,0,0,0,112,126,145,0,375300,399,399,0,399,0,16,33,115,97,33,105,2183,0,0,0,0,0,0,0,,399,145,164,15,30,45,0,0,0,0,0,0,0,0,0,0,1797,424,306,366,208,248,119,126,1211,32,1763,256,281,178,393,130,525,66,ACS_Housing_DC_CensusTract_49,0,0
67,11,001,004002,11001004002,40.02,Census Tract 40.02,G5020,S,194755,0,+38.9181186,-077.0437209,2033,1825,208,7,5.4,2033,46,134,61,87,254,387,1064,0,0,2033,60,16,0,0,79,127,212,136,41,1362,2033,326,229,530,445,247,27,61,45,123,3.4,2033,408,841,502,117,66,99,1825,785,1040,1.89,1.75,1825,334,356,485,297,270,83,1825,776,905,135,9,1825,806,70,802,48,0,0,12,31,56,1825,0,0,50,1825,1805,20,0,785,0,0,0,0,21,215,313,236,678700,785,652,133,652,0,10,15,24,138,181,284,2884,133,9,8,9,28,19,60,928,645,317,52,140,8,128,7,133,72,17,16,11,0,9,8,0,1021,10,33,69,388,330,83,108,2016,19,1013,159,245,159,155,121,174,27,ACS_Housing_DC_CensusTract_53,0,0
68,11,001,002702,11001002702,27.02,Census Tract 27.02,G5020,S,486439,7801,+38.9301680,-077.0421774,2565,2370,195,0,5.6,2565,103,907,199,122,53,133,1048,0,0,2565,0,0,0,34,31,50,60,231,295,1864,2565,344,177,645,399,181,108,228,174,309,3.8,2565,410,767,562,233,368,225,2370,1050,1320,2.92,2.24,2370,316,463,761,327,249,254,2370,837,1045,351,137,2370,1497,13,832,28,0,0,0,0,0,2370,0,0,67,2370,2214,32,124,1050,0,0,0,0,46,246,341,417,865000,1050,904,146,904,0,0,0,142,99,181,482,3146,146,0,31,55,5,13,42,576,904,514,84,47,12,247,0,146,84,16,0,15,0,31,0,0,1320,201,17,314,518,123,94,53,1624,0,1320,73,259,224,195,138,431,0,ACS_Housing_DC_CensusTract_77,0,0
69,11,001,000502,11001000502,5.02,Census Tract 5.02,G5020,S,581507,0,+38.9283547,-077.0595624,1776,1596,180,2.7,8.1,1776,202,443,18,17,0,115,981,0,0,1776,0,30,9,4,5,51,110,150,159,1258,1776,103,116,385,290,174,83,142,59,424,4.5,1776,127,650,332,235,222,210,1596,863,733,2.46,1.73,1596,242,241,383,313,226,191,1596,411,775,332,78,1596,965,43,402,68,0,0,0,53,65,1596,0,10,10,1596,1588,0,8,863,0,0,0,0,20,150,173,520,1178400,863,574,289,574,0,11,20,28,71,17,427,3989,289,0,0,0,12,32,245,1274,574,291,125,34,45,79,0,289,198,36,0,13,10,0,32,0,721,8,28,120,260,147,70,88,1893,12,721,116,132,194,92,30,157,12,ACS_Housing_DC_CensusTract_64,0,0
70,11,001,000400,11001000400,4,Census Tract 4,G5020,S,1542759,69,+38.9227989,-077.0649214,712,591,121,0,24,712,310,13,7,0,0,0,364,18,0,712,75,0,68,44,140,31,4,40,52,258,712,59,30,163,50,57,5,38,0,310,5.4,712,68,157,139,25,87,236,591,350,241,2.33,2.37,591,33,141,165,119,66,67,591,127,215,174,75,591,271,12,298,5,0,0,0,5,0,591,0,0,0,591,576,0,15,350,6,0,0,5,7,43,70,219,1146700,350,205,145,205,0,0,5,4,43,19,134,4001,145,0,0,0,0,21,124,1501,205,114,37,7,18,29,0,143,63,11,25,19,0,0,25,2,213,0,0,6,66,87,17,37,2198,28,192,34,12,12,17,21,96,49,ACS_Housing_DC_CensusTract_63,0,0
71,11,001,003000,11001003000,30,Census Tract 30,G5020,S,210638,0,+38.9288689,-077.0299525,1621,1457,164,0,6.3,1621,82,284,169,174,82,289,541,0,0,1621,0,0,313,49,86,68,47,38,58,962,1621,94,101,426,359,273,85,29,42,212,4,1621,94,469,554,258,141,105,1457,528,929,2.81,2.37,1457,159,282,395,353,195,73,1457,610,652,142,53,1457,420,10,1004,23,0,0,0,0,0,1457,0,0,0,1457,1412,17,28,528,0,0,0,0,0,94,351,83,701400,528,487,41,487,0,0,0,29,94,42,322,3530,41,0,0,0,12,18,11,947,487,196,41,144,22,84,0,41,11,30,0,0,0,0,0,0,929,244,171,93,177,104,88,52,1335,0,893,152,112,141,176,46,266,36,ACS_Housing_DC_CensusTract_83,0,0
72,11,001,009000,11001009000,90,Census Tract 90,G5020,S,1427114,31550,+38.9226934,-076.9545101,2227,2174,53,0,0.4,2227,49,1039,0,60,52,119,908,0,0,2227,81,274,341,200,275,569,211,154,31,91,2227,115,169,592,383,128,501,161,83,95,4.1,2227,115,810,377,827,73,25,2174,1062,1112,2.34,1.19,2174,207,195,729,598,240,205,2174,712,1204,242,16,2174,591,5,1520,0,0,0,0,16,42,2174,0,0,21,2174,2162,12,0,1062,0,0,0,0,207,352,478,25,484900,1062,911,151,911,0,11,99,155,210,245,191,2454,151,0,11,30,39,71,0,688,911,229,309,84,27,262,0,151,16,91,30,0,0,0,14,0,1102,491,182,322,95,12,0,0,562,10,1102,60,68,55,151,195,573,10,ACS_Housing_DC_CensusTract_148,0,0
73,11,001,003400,11001003400,34,Census Tract 34,G5020,S,917526,159593,+38.9221781,-077.0175890,1381,1040,341,5.5,1.2,1381,159,480,196,128,113,93,193,19,0,1381,5,10,27,55,12,43,64,185,48,932,1381,30,108,279,288,286,179,81,24,106,4.4,1381,30,409,341,370,168,63,1040,416,624,3.24,2.38,1040,145,106,337,187,130,135,1040,443,452,118,27,1040,452,0,556,0,0,0,0,32,0,1040,0,22,26,1040,1034,0,6,416,0,0,0,0,37,46,216,117,803900,416,344,72,344,0,6,23,52,21,34,208,3964,72,0,0,17,15,22,18,818,344,118,55,62,14,95,0,72,24,6,0,0,0,12,30,0,599,191,98,73,93,23,44,77,1053,25,545,137,67,73,50,68,150,79,ACS_Housing_DC_CensusTract_179,0,0
74,11,001,003900,11001003900,39,Census Tract 39,G5020,S,379810,10579,+38.9249705,-077.0439028,2946,2779,167,0,0,2946,0,129,16,72,104,270,2355,0,0,2946,89,0,0,34,97,117,105,259,338,1907,2946,386,394,896,670,380,44,36,66,74,3.3,2946,495,1413,871,75,65,27,2779,1035,1744,1.73,1.59,2779,293,834,807,453,208,184,2779,1566,1097,71,45,2779,1361,0,1262,111,0,0,0,29,16,2779,0,0,0,2779,2753,0,26,1035,0,0,0,103,65,471,216,180,396300,1035,691,344,691,16,65,148,191,86,76,109,1752,344,74,31,0,105,15,119,677,691,391,90,132,31,47,0,344,313,31,0,0,0,0,0,0,1716,19,94,246,684,374,201,98,1865,28,1716,229,390,398,210,184,305,28,ACS_Housing_DC_CensusTract_108,0,0
75,11,001,009302,11001009302,93.02,Census Tract 93.02,G5020,S,391905,0,+38.9251636,-076.9907773,638,600,38,0,6.7,638,192,197,2,27,9,55,156,0,0,638,90,0,0,11,34,75,10,33,45,340,638,27,34,110,93,27,77,113,80,77,5.9,638,27,106,163,232,87,23,600,348,252,2.53,2.68,600,81,79,126,102,93,119,600,172,247,153,28,600,370,5,210,15,0,0,0,0,0,600,0,0,4,600,565,35,0,348,0,0,0,0,0,85,258,5,630900,348,268,80,268,0,9,31,48,51,34,95,2451,80,9,8,14,43,6,0,628,268,93,54,46,20,55,0,80,57,0,6,0,8,0,9,0,252,0,37,82,94,18,21,0,1537,0,245,24,35,32,24,11,119,7,ACS_Housing_DC_CensusTract_159,0,0
76,11,001,009102,11001009102,91.02,Census Tract 91.02,G5020,S,1816287,0,+38.9187926,-076.9888946,2206,2002,204,2.5,4.9,2206,352,432,15,535,385,148,309,30,0,2206,112,146,84,46,14,175,330,479,445,375,2206,29,192,493,333,425,349,141,138,106,4.6,2206,29,773,411,708,262,23,2002,690,1312,2.61,2.21,2002,117,248,697,523,217,200,2002,798,827,270,107,2002,1220,10,728,6,0,0,12,10,16,2002,0,0,6,2002,1965,37,0,690,0,8,12,0,163,214,273,20,411900,690,559,131,559,0,36,104,90,157,89,83,2158,131,8,28,64,25,0,6,476,559,264,79,30,42,144,0,131,83,41,7,0,0,0,0,0,1275,320,335,323,178,47,63,9,983,37,1275,273,98,59,173,118,554,37,ACS_Housing_DC_CensusTract_149,0,0
77,11,001,003500,11001003500,35,Census Tract 35,G5020,S,382021,0,+38.9223765,-077.0243410,1400,1256,144,0,2.6,1400,65,362,142,29,63,93,646,0,0,1400,325,10,171,34,18,100,84,105,99,454,1400,88,215,466,211,81,149,101,44,45,3.4,1400,105,722,232,149,153,39,1256,404,852,2.12,2.34,1256,206,299,366,232,79,74,1256,524,523,176,33,1256,516,17,663,12,0,0,0,26,22,1256,0,0,39,1256,1154,65,37,404,0,0,0,0,14,102,278,10,611400,404,310,94,310,0,0,5,62,29,129,85,2729,94,0,9,30,43,2,10,619,310,147,43,54,29,37,0,94,57,0,12,0,0,25,0,0,852,162,55,190,104,45,114,182,1591,0,836,115,106,35,66,175,339,16,ACS_Housing_DC_CensusTract_132,0,0
78,11,001,007809,11001007809,78.09,Census Tract 78.09,G5020,S,535254,0,+38.9015402,-076.9321955,1386,1187,199,2.4,6.3,1386,312,712,41,48,43,230,0,0,0,1386,0,33,0,59,98,91,126,244,526,209,1386,0,46,157,373,314,131,231,83,51,4.9,1386,0,266,682,295,143,0,1187,696,491,2.57,2.63,1187,41,163,387,269,110,217,1187,424,457,218,88,1187,749,0,367,40,0,0,0,0,31,1187,17,0,0,1187,1181,6,0,696,72,0,31,89,414,51,39,0,246200,696,521,175,521,12,76,215,99,75,33,11,1386,175,15,45,89,26,0,0,442,521,158,46,58,80,179,0,175,136,26,0,0,13,0,0,0,450,76,101,171,38,64,0,0,1078,41,384,0,12,21,65,42,244,107,ACS_Housing_DC_CensusTract_25,0,0
79,11,001,008410,11001008410,84.10,Census Tract 84.10,G5020,S,219939,0,+38.9015543,-076.9911234,698,636,62,0,7.1,698,46,568,47,0,23,0,14,0,0,698,15,6,29,9,11,8,18,10,26,566,698,0,21,76,145,119,149,54,90,44,5.4,698,0,50,262,251,118,17,636,439,197,2.53,2.64,636,64,129,204,157,11,71,636,112,367,117,40,636,428,0,208,0,0,0,0,0,0,636,0,0,11,636,630,0,6,439,0,5,0,0,11,54,321,48,712400,439,356,83,356,0,0,17,27,52,63,197,3093,83,0,7,17,14,26,19,913,351,209,38,40,23,41,5,83,24,4,0,26,8,4,17,0,192,13,19,12,16,36,74,22,2500,5,177,87,26,12,28,4,20,20,ACS_Housing_DC_CensusTract_130,0,0
80,11,001,005800,11001005800,58,Census Tract 58,G5020,S,914536,0,+38.8978616,-077.0250305,2835,2262,573,7.6,9.5,2835,0,35,20,29,56,46,2649,0,0,2835,395,224,863,661,238,37,116,22,17,262,2835,368,590,1140,341,204,115,17,14,46,2.9,2835,404,1525,771,86,11,38,2262,741,1521,1.56,1.5,2262,356,802,621,349,114,20,2262,1146,993,123,0,2262,491,13,1717,0,0,0,0,0,41,2262,0,29,66,2262,2231,0,31,741,9,0,0,0,10,211,457,54,612900,741,527,214,527,0,0,34,16,94,80,303,3208,214,0,0,9,16,60,129,1347,527,230,110,54,5,128,0,203,65,62,17,30,0,0,29,11,1496,101,20,83,137,348,382,425,2577,25,1442,239,322,263,202,85,331,79,ACS_Housing_DC_CensusTract_169,0,0
81,11,001,004702,11001004702,47.02,Census Tract 47.02,G5020,S,326350,0,+38.9008608,-077.0136117,2100,2000,100,3.8,4.2,2100,6,83,24,0,6,28,1953,0,0,2100,555,268,820,84,47,156,55,43,0,72,2100,250,489,790,299,124,109,34,0,5,2.9,2100,286,1149,548,102,10,5,2000,331,1669,1.56,1.64,2000,510,629,558,236,0,67,2000,1007,778,197,18,2000,603,47,1302,0,0,0,0,0,48,2000,6,0,30,2000,1927,20,53,331,0,0,0,0,25,129,171,6,531300,331,287,44,287,0,6,4,26,49,97,105,2802,44,0,22,0,0,5,17,,282,94,74,34,45,35,5,44,39,0,0,5,0,0,0,0,1669,65,78,99,117,524,483,303,2454,0,1618,296,342,199,181,109,491,51,ACS_Housing_DC_CensusTract_103,0,0
82,11,001,010800,11001010800,108,Census Tract 108,G5020,S,661580,0,+38.8973521,-077.0446120,1108,806,302,0,14.5,1108,0,19,15,0,35,20,1012,7,0,1108,39,137,129,14,54,93,338,90,114,100,1108,378,214,322,121,54,0,6,13,0,2.3,1108,483,462,144,19,0,0,806,47,759,,1.42,806,173,251,257,51,35,39,806,669,114,23,0,806,246,2,522,17,0,0,5,8,6,806,0,7,11,806,795,0,11,47,0,0,0,0,40,7,0,0,237900,47,16,31,16,0,0,3,13,0,0,0,1708,31,0,0,8,16,0,7,706,16,7,0,6,0,3,0,31,15,0,0,0,0,0,16,0,759,52,32,129,362,74,40,70,1730,0,706,110,38,41,67,70,380,53,ACS_Housing_DC_CensusTract_146,0,0
83,11,001,005900,11001005900,59,Census Tract 59,G5020,S,642061,0,+38.8959946,-077.0149469,1483,1194,289,0,6.3,1483,0,0,0,18,0,73,1392,0,0,1483,0,51,851,176,71,67,85,24,66,92,1483,257,277,522,318,48,53,8,0,0,2.9,1483,331,778,325,49,0,0,1194,163,1031,1.87,1.73,1194,246,308,439,177,16,8,1194,730,389,75,0,1194,335,15,795,0,0,0,0,0,49,1194,0,0,22,1194,1167,0,27,163,0,0,0,0,0,68,95,0,542700,163,140,23,140,0,0,7,0,10,36,87,3625,23,0,0,0,7,9,7,850,140,47,33,19,9,32,0,23,7,9,0,0,0,0,7,0,1017,196,8,55,140,296,204,118,2185,14,947,127,142,151,201,39,287,84,ACS_Housing_DC_CensusTract_115,0,0
84,11,001,007804,11001007804,78.04,Census Tract 78.04,G5020,S,838428,5705,+38.8942107,-076.9313427,1508,1251,257,0,11.2,1508,383,425,0,49,361,93,197,0,0,1508,60,115,96,0,75,162,218,220,280,282,1508,10,51,260,291,196,299,145,102,154,5.2,1508,18,211,459,640,106,74,1251,529,722,3.11,3.1,1251,146,187,328,385,55,150,1251,627,413,211,0,1251,750,35,449,9,0,0,0,0,8,1251,0,0,72,1251,1113,109,29,529,12,0,1,58,120,315,10,13,328600,529,447,82,447,12,50,59,173,102,51,0,1715,82,0,45,24,13,0,0,394,447,110,68,114,83,72,0,82,29,23,11,0,9,0,10,0,698,350,177,60,66,0,33,12,497,24,686,62,133,179,164,31,117,36,ACS_Housing_DC_CensusTract_139,0,0
85,11,001,008402,11001008402,84.02,Census Tract 84.02,G5020,S,274180,0,+38.8985960,-076.9910210,1291,1162,129,0,6.4,1291,54,461,181,13,60,156,366,0,0,1291,159,0,31,13,78,184,68,79,35,644,1291,54,281,160,298,65,168,118,59,88,4,1291,70,583,296,265,62,15,1162,479,683,2.13,1.82,1162,159,250,389,234,25,105,1162,448,477,220,17,1162,588,16,525,8,0,0,0,17,8,1162,0,0,16,1162,1153,9,0,479,0,7,12,11,0,128,280,41,664300,479,346,133,346,0,10,0,53,70,54,159,2870,133,7,0,17,101,0,8,660,346,123,76,9,51,87,0,133,99,0,26,0,0,0,8,0,677,196,55,137,125,57,36,71,1377,6,650,139,88,74,62,163,124,33,ACS_Housing_DC_CensusTract_91,0,0
86,11,001,006202,11001006202,62.02,Census Tract 62.02,G5020,S,6539770,4970897,+38.8809933,-077.0363219,38,38,0,,0,38,0,0,0,0,0,0,38,0,0,38,0,0,0,38,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,,38,38,0,0,0,0,0,38,0,38,,1.53,38,0,0,38,0,0,0,38,0,38,0,0,38,0,0,38,0,0,0,0,0,0,38,0,0,0,38,0,0,38,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,38,0,0,0,,0,38,38,0,0,0,0,0,0,ACS_Housing_DC_CensusTract_96,0,0
87,11,001,008301,11001008301,83.01,Census Tract 83.01,G5020,S,303973,0,+38.8970373,-077.0008008,1412,1157,255,0,17.1,1412,71,669,137,62,33,54,386,0,0,1412,299,15,12,12,60,51,23,34,7,899,1412,92,131,374,187,74,230,158,47,119,4.1,1412,92,440,379,301,175,25,1157,561,596,2.09,2.26,1157,198,255,317,181,117,89,1157,320,560,250,27,1157,603,17,537,0,0,0,0,0,0,1157,0,0,22,1157,1141,16,0,561,0,0,23,0,12,47,377,102,810100,561,454,107,454,0,12,91,28,39,83,201,2843,107,0,0,43,30,29,5,653,454,239,41,72,14,88,0,107,73,9,0,20,0,5,0,0,596,0,52,8,137,131,105,163,2385,0,586,176,58,113,60,57,122,10,ACS_Housing_DC_CensusTract_78,0,0
88,11,001,008302,11001008302,83.02,Census Tract 83.02,G5020,S,260891,0,+38.8963061,-076.9966527,1178,1106,72,0,2.9,1178,85,608,198,53,41,45,148,0,0,1178,99,22,51,20,9,6,5,85,64,817,1178,62,115,163,145,140,125,137,136,155,5.2,1178,62,219,362,241,239,55,1106,608,498,2.92,2.12,1106,197,250,314,153,77,115,1106,226,550,301,29,1106,639,14,434,0,0,0,8,11,0,1106,0,0,15,1106,1078,25,3,608,5,0,0,0,4,46,323,230,912300,608,476,132,476,0,15,22,29,63,45,302,3646,132,0,0,24,68,15,25,691,476,219,90,38,67,62,0,132,95,14,0,0,11,7,5,0,487,0,23,25,138,156,57,88,2184,11,487,113,78,78,10,53,155,11,ACS_Housing_DC_CensusTract_129,0,0
89,11,001,007901,11001007901,79.01,Census Tract 79.01,G5020,S,402041,0,+38.8965543,-076.9804319,1878,1620,258,3.4,15.2,1878,16,720,42,540,252,262,46,0,0,1878,30,0,246,89,79,23,155,320,122,814,1878,47,146,473,328,338,243,121,63,119,4.3,1878,57,498,696,445,172,10,1620,631,989,3.08,2.78,1620,169,242,716,170,117,206,1620,533,793,230,64,1620,912,25,658,9,0,0,9,0,7,1620,0,0,37,1620,1525,69,26,631,0,0,0,10,21,250,350,0,527800,631,525,106,525,0,21,79,49,170,99,107,2334,106,0,29,45,16,16,0,519,498,204,96,99,33,66,27,97,64,16,0,8,0,9,0,9,951,109,297,164,249,47,43,42,1279,38,940,58,181,171,87,76,367,49,ACS_Housing_DC_CensusTract_117,0,0
90,11,001,008701,11001008701,87.01,Census Tract 87.01,G5020,S,382686,0,+38.9141018,-077.0062645,1057,892,165,0,15,1057,217,549,105,40,0,107,39,0,0,1057,0,40,34,20,19,12,18,3,50,861,1057,0,32,79,128,208,216,200,88,106,5.9,1057,0,81,207,547,208,14,892,519,373,2.54,3.02,892,113,111,267,137,78,186,892,244,451,162,35,892,593,0,276,23,0,0,0,0,0,892,0,0,0,892,877,15,0,519,0,0,0,0,0,105,371,43,686600,519,341,178,341,0,14,21,7,48,81,170,2997,178,0,0,61,13,15,89,1000,341,156,58,18,20,89,0,178,22,65,11,0,26,0,54,0,373,0,14,60,109,84,6,100,2021,0,373,61,38,119,9,8,138,0,ACS_Housing_DC_CensusTract_118,0,0
91,11,001,000100,11001000100,1,Census Tract 1,G5020,S,1907609,512798,+38.9060174,-077.0601874,2765,2380,385,0,4.1,2765,239,1114,57,195,100,99,961,0,0,2765,0,14,134,0,107,21,96,152,283,1958,2765,187,131,388,553,302,269,256,248,431,4.9,2765,218,595,840,472,378,262,2380,1364,1016,2.16,1.9,2380,316,345,734,428,257,300,2380,535,1171,544,130,2380,1388,77,770,97,0,0,0,35,13,2380,0,0,29,2380,2380,0,0,1364,17,28,0,14,16,173,312,804,1187100,1364,875,489,875,0,13,27,76,30,143,586,3963,489,14,14,31,0,66,364,1501,875,381,54,101,84,255,0,482,292,75,32,15,0,0,68,7,974,21,30,148,156,255,6,358,2259,42,974,277,219,126,27,116,209,42,ACS_Housing_DC_CensusTract_102,0,0
92,11,001,009601,11001009601,96.01,Census Tract 96.01,G5020,S,1905262,179134,+38.9091300,-076.9490606,926,833,93,6.4,3.2,926,288,387,0,18,84,149,0,0,0,926,16,40,29,30,51,34,52,351,198,125,926,12,24,73,72,254,206,133,85,67,5.6,926,12,74,241,446,115,38,833,294,539,2.51,2.9,833,35,163,174,244,96,121,833,326,329,136,42,833,533,0,266,7,0,0,5,0,22,833,8,0,19,833,796,37,0,294,0,9,0,12,77,152,34,10,351600,294,165,129,165,0,6,61,65,15,14,4,1590,129,0,31,37,42,19,0,542,157,65,37,4,3,48,8,129,57,19,29,0,6,0,18,0,534,121,297,71,25,0,20,0,713,5,530,108,90,56,37,64,175,9,ACS_Housing_DC_CensusTract_101,0,0
93,11,001,000202,11001000202,2.02,Census Tract 2.02,G5020,S,776437,428754,+38.9063048,-077.0696362,1824,1638,186,0,0,1824,220,938,20,18,80,120,428,0,0,1824,33,24,33,82,467,8,70,180,67,860,1824,29,103,187,365,156,284,245,111,344,5.8,1824,57,282,512,613,218,142,1638,1154,484,1.93,3.1,1638,112,340,455,350,116,265,1638,266,861,358,153,1638,881,22,735,0,0,0,0,0,0,1638,0,0,66,1638,1623,0,15,1154,17,0,9,0,0,63,344,721,1198900,1154,796,358,796,0,15,23,49,56,62,591,3710,358,7,0,10,13,24,304,1443,796,429,45,50,71,201,0,358,194,122,13,0,0,0,29,0,454,0,14,30,128,42,28,212,2732,30,454,79,44,64,43,20,204,30,ACS_Housing_DC_CensusTract_109,0,0
94,11,001,008804,11001008804,88.04,Census Tract 88.04,G5020,S,778052,0,+38.9102408,-076.9812669,1439,1215,224,0,9.3,1439,53,252,111,912,0,75,36,0,0,1439,0,128,7,44,18,154,202,317,209,360,1439,33,205,395,329,172,164,29,55,57,3.8,1439,52,627,477,236,47,0,1215,338,877,2.1,2.18,1215,149,208,342,298,90,128,1215,543,571,77,24,1215,841,6,339,0,0,0,0,0,29,1215,10,10,59,1215,1125,90,0,338,0,0,0,0,49,188,101,0,388900,338,287,51,287,0,25,30,93,114,8,17,1985,51,0,27,15,9,0,0,346,287,102,52,52,34,47,0,51,36,6,0,0,0,0,9,0,877,36,335,387,86,33,0,0,1135,0,813,133,53,97,19,25,486,64,ACS_Housing_DC_CensusTract_141,0,0
95,11,001,008803,11001008803,88.03,Census Tract 88.03,G5020,S,1168294,0,+38.9104603,-076.9913622,1031,860,171,0,7.5,1031,33,44,92,391,130,104,237,0,0,1031,136,67,7,4,42,64,128,164,225,194,1031,95,129,261,306,125,93,5,5,12,3.6,1031,95,349,460,103,24,0,860,111,749,3.05,2.23,860,165,161,359,133,22,20,860,384,374,98,4,860,363,5,483,9,0,0,0,0,0,860,0,5,9,860,809,27,24,111,0,0,17,9,19,51,15,0,338900,111,99,12,99,0,9,44,34,12,0,0,1476,12,0,9,0,0,0,3,,99,22,20,31,22,4,0,12,9,0,0,0,0,0,3,0,731,63,156,190,160,89,47,26,1419,18,709,14,107,35,92,78,383,40,ACS_Housing_DC_CensusTract_140,0,0
96,11,001,003302,11001003302,33.02,Census Tract 33.02,G5020,S,204237,0,+38.9139237,-077.0111677,1040,917,123,3.3,5.9,1040,142,564,181,36,24,51,38,4,0,1040,0,0,49,20,5,16,28,88,12,822,1040,24,83,132,107,144,167,65,164,154,5.7,1040,24,169,155,440,191,61,917,531,386,2.38,2.61,917,118,245,223,165,104,62,917,114,518,237,48,917,464,12,435,0,0,0,0,6,0,917,0,0,25,917,914,3,0,531,0,0,0,0,15,51,350,115,831300,531,475,56,475,0,7,15,27,36,97,293,3305,56,0,14,14,15,5,8,600,475,236,53,29,33,124,0,56,33,16,0,7,0,0,0,0,382,10,0,44,154,30,71,73,1945,4,382,68,74,39,62,77,62,4,ACS_Housing_DC_CensusTract_90,0,0
97,11,001,004202,11001004202,42.02,Census Tract 42.02,G5020,S,207646,0,+38.9134023,-077.0430254,1792,1618,174,5.9,6.3,1792,27,124,130,251,209,304,747,0,0,1792,0,0,0,27,125,139,201,108,99,1093,1792,361,352,450,326,125,53,32,14,79,2.9,1792,501,782,375,44,59,31,1618,434,1184,1.57,1.34,1618,422,302,472,240,97,85,1618,859,645,114,0,1618,755,50,738,13,0,0,0,16,46,1618,0,42,47,1618,1583,0,35,434,0,0,0,0,19,166,167,82,602600,434,287,147,287,0,0,20,8,38,55,166,3142,147,18,0,9,49,10,61,791,287,160,17,9,45,56,0,147,62,39,0,8,0,0,38,0,1184,0,34,202,457,278,84,129,1889,0,1184,249,140,242,140,81,332,0,ACS_Housing_DC_CensusTract_56,0,0
98,11,001,004600,11001004600,46,Census Tract 46,G5020,S,437422,0,+38.9097456,-077.0133001,1530,1530,0,0,0,1530,232,620,174,196,54,74,180,0,0,1530,55,0,54,71,15,76,40,23,80,1116,1530,39,75,253,340,378,210,56,74,105,4.7,1530,39,410,461,399,139,82,1530,906,624,2.16,1.74,1530,227,133,592,255,69,254,1530,460,837,193,40,1530,790,0,728,0,0,0,0,5,7,1530,0,0,67,1530,1530,0,0,906,0,15,0,0,13,92,688,98,681800,906,769,137,769,0,40,64,89,204,113,259,2469,137,0,13,57,25,0,42,,769,379,150,71,64,105,0,137,58,25,42,12,0,0,0,0,624,42,130,174,84,22,106,66,1429,0,568,129,46,79,46,35,233,56,ACS_Housing_DC_CensusTract_66,0,0
