OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0019E,DP05_0020E,DP05_0021E,DP05_0022E,DP05_0023E,DP05_0024E,DP05_0025E,DP05_0026E,DP05_0027E,DP05_0028E,DP05_0029E,DP05_0030E,DP05_0031E,DP05_0032E,DP05_0033E,DP05_0034E,DP05_0035E,DP05_0036E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0040E,DP05_0041E,DP05_0042E,DP05_0043E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0047E,DP05_0048E,DP05_0049E,DP05_0050E,DP05_0051E,DP05_0052E,DP05_0053E,DP05_0054E,DP05_0055E,DP05_0056E,DP05_0057E,DP05_0058E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0066E,DP05_0067E,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0075E,DP05_0076E,DP05_0077E,DP05_0078E,DP05_0079E,DP05_0080E,DP05_0081E,DP05_0082E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0086E,DP05_0087E,DP05_0088E,DP05_0089E,GIS_ID,SHAPEAREA,SHAPELEN
13,11,001,009508,11001009508,95.08,Census Tract 95.08,G5020,S,933194,0,+38.9538806,-076.9984470,3754,1762,1992,88.5,72,132,287,117,182,629,329,542,213,398,318,330,205,47.3,541,3263,3213,3121,1086,853,3213,1508,1705,88.4,853,298,555,53.7,3754,3572,182,3572,360,2868,69,69,0,0,0,50,0,0,36,0,0,0,14,0,0,0,0,0,225,182,27,0,0,51,3754,451,3011,175,75,0,264,3754,406,1,0,14,391,3348,273,2857,69,50,0,0,99,0,99,1799,3002,1413,1589,ACS_Demographic_DC_CensusTract_43,0,0
14,11,001,009503,11001009503,95.03,Census Tract 95.03,G5020,S,1423608,0,+38.9434458,-076.9845276,3182,1417,1765,80.3,219,109,146,123,221,233,583,358,189,263,394,240,104,43.6,537,2708,2645,2582,891,738,2645,1151,1494,77,738,277,461,60.1,3182,3127,55,3127,847,2242,0,0,0,0,0,38,0,30,8,0,0,0,0,0,0,0,0,0,0,55,0,0,39,0,3182,902,2249,7,77,0,9,3182,56,24,26,0,6,3126,800,2242,0,38,0,0,46,0,46,1268,2598,1148,1450,ACS_Demographic_DC_CensusTract_30,0,0
15,11,001,009501,11001009501,95.01,Census Tract 95.01,G5020,S,1590019,0,+38.9418428,-077.0029522,7368,3783,3585,105.5,567,491,215,1502,1157,1164,672,717,260,122,307,150,44,22.3,1497,5980,5871,4072,604,501,5871,2779,3092,89.9,501,218,283,77,7368,7143,225,7143,2055,3466,15,0,0,0,0,240,70,50,86,0,4,13,17,4,4,0,0,0,1363,225,131,0,55,1,7368,2270,3611,27,312,26,1388,7368,1986,233,74,37,1642,5382,1830,3203,15,234,4,0,96,0,96,1991,4774,2184,2590,ACS_Demographic_DC_CensusTract_29,0,0
16,11,001,009509,11001009509,95.09,Census Tract 95.09,G5020,S,648848,0,+38.9492140,-076.9950319,3412,1618,1794,90.2,349,112,233,155,97,417,401,572,137,256,244,251,188,42.1,760,2718,2652,2537,884,683,2652,1118,1534,72.9,683,198,485,40.8,3412,3326,86,3326,387,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,86,66,0,0,0,3412,453,2760,0,20,0,265,3412,285,70,0,0,215,3127,328,2633,0,0,0,80,86,14,72,1313,2468,1006,1462,ACS_Demographic_DC_CensusTract_44,0,0
17,11,001,002202,11001002202,22.02,Census Tract 22.02,G5020,S,693961,566,+38.9479653,-077.0118821,3332,1758,1574,111.7,379,180,115,149,155,772,521,386,116,196,243,87,33,34,757,2627,2575,2454,457,363,2575,1279,1296,98.7,363,140,223,62.8,3332,3219,113,3219,737,1792,11,0,0,0,0,24,6,0,0,0,0,18,0,0,0,0,0,0,655,113,82,0,7,0,3332,850,1898,35,31,0,655,3332,845,0,0,0,845,2487,559,1792,11,24,0,0,101,0,101,1490,2214,1104,1110,ACS_Demographic_DC_CensusTract_14,0,0
18,11,001,002201,11001002201,22.01,Census Tract 22.01,G5020,S,415173,0,+38.9491337,-077.0232932,3264,1582,1682,94.1,161,110,78,95,227,691,527,379,353,207,206,143,87,40.3,426,2902,2838,2783,587,436,2838,1358,1480,91.8,436,150,286,52.4,3264,3107,157,3107,1099,1606,20,0,0,0,0,99,50,0,0,0,29,0,20,0,0,0,0,0,283,157,0,0,0,116,3264,1099,1750,149,99,0,324,3264,548,15,0,0,533,2716,877,1591,20,99,0,0,129,13,116,1143,2538,1151,1387,ACS_Demographic_DC_CensusTract_13,0,0
19,11,001,000901,11001000901,9.01,Census Tract 9.01,G5020,S,2952810,75151,+38.9384363,-077.1004240,7270,3234,4036,80.1,181,277,358,2638,706,310,450,652,263,287,580,383,185,20.4,1067,6363,6203,3348,1331,1148,6203,2658,3545,75,1148,556,592,93.9,7270,7060,210,7060,5857,558,20,0,0,0,0,505,117,210,28,7,66,6,71,0,0,0,0,0,120,210,72,7,93,0,7270,6047,647,35,609,0,150,7270,820,140,43,101,536,6450,5220,518,20,505,0,8,179,20,159,1649,5639,2436,3203,ACS_Demographic_DC_CensusTract_89,0,0
20,11,001,001302,11001001302,13.02,Census Tract 13.02,G5020,S,1593506,14706,+38.9420430,-077.0556067,7166,2944,4222,69.7,125,85,12,0,543,2394,1344,655,216,375,628,573,216,38,222,6944,6944,6901,1572,1417,6944,2898,4046,71.6,1417,473,944,50.1,7166,6816,350,6816,5429,692,0,0,0,0,0,344,25,122,89,49,0,0,59,0,0,0,0,0,351,350,24,29,122,0,7166,5631,744,29,614,0,526,7166,949,217,0,0,732,6217,5067,581,0,344,0,22,203,0,203,5216,6112,2498,3614,ACS_Demographic_DC_CensusTract_7,0,0
21,11,001,002501,11001002501,25.01,Census Tract 25.01,G5020,S,543460,0,+38.9446515,-077.0317348,3260,1818,1442,126.1,247,279,150,84,100,789,388,491,168,101,269,109,85,34.7,719,2572,2541,2481,524,463,2541,1368,1173,116.6,463,128,335,38.2,3260,3094,166,3094,828,1380,0,0,0,0,0,58,17,0,10,11,20,0,0,0,0,0,0,0,828,166,26,0,9,0,3260,919,1537,0,96,0,930,3260,1152,80,143,63,866,2108,679,1307,0,47,0,11,64,0,64,1071,1864,844,1020,ACS_Demographic_DC_CensusTract_34,0,0
22,11,001,002301,11001002301,23.01,Census Tract 23.01,G5020,S,412613,0,+38.9425896,-077.0165738,3608,1665,1943,85.7,330,229,133,158,255,510,756,451,244,125,264,79,74,36.7,799,2834,2809,2714,478,417,2809,1277,1532,83.4,417,157,260,60.4,3608,3464,144,3464,1007,1968,0,0,0,0,0,75,35,0,0,0,40,0,0,0,0,0,0,0,414,144,13,5,41,0,3608,1140,2055,79,127,0,425,3608,573,58,32,16,467,3035,920,1879,0,75,0,17,144,11,133,1202,2565,1164,1401,ACS_Demographic_DC_CensusTract_15,0,0
23,11,001,009400,11001009400,94,Census Tract 94,G5020,S,1582882,0,+38.9368061,-076.9742464,5135,2339,2796,83.7,582,260,238,202,183,619,803,730,336,263,530,247,142,41.6,1214,4021,3921,3834,995,919,3921,1880,2041,92.1,919,359,560,64.1,5135,4996,139,4996,910,3899,31,0,0,0,0,86,7,44,0,0,6,29,0,0,0,0,0,0,70,139,43,0,28,8,5135,994,4010,39,153,0,91,5135,150,82,7,0,61,4985,834,3869,31,86,0,26,139,8,131,1832,3803,1830,1973,ACS_Demographic_DC_CensusTract_28,0,0
24,11,001,002400,11001002400,24,Census Tract 24,G5020,S,556235,0,+38.9417839,-077.0224053,4104,1734,2370,73.2,241,156,95,135,222,1054,686,536,287,229,230,132,101,36.5,608,3567,3496,3422,594,463,3496,1508,1988,75.9,463,213,250,85.2,4104,4008,96,4008,1809,1717,0,0,0,0,0,128,55,39,16,0,18,0,0,0,0,0,0,0,354,96,34,0,42,0,4104,1905,1751,0,190,0,374,4104,775,15,0,8,752,3329,1404,1675,0,128,0,26,96,0,96,1531,3183,1320,1863,ACS_Demographic_DC_CensusTract_36,0,0
25,11,001,009504,11001009504,95.04,Census Tract 95.04,G5020,S,1031416,0,+38.9409147,-076.9931092,3424,1608,1816,88.5,221,174,45,159,123,674,464,317,228,198,274,294,253,41.5,520,2981,2904,2794,916,821,2904,1286,1618,79.5,821,225,596,37.8,3424,3366,58,3366,1093,1613,360,0,0,0,0,192,33,0,3,72,0,84,0,0,0,0,0,0,108,58,16,0,42,0,3424,1151,1629,360,234,0,108,3424,498,370,0,10,118,2926,1073,1603,0,192,0,0,58,0,58,1392,2732,1167,1565,ACS_Demographic_DC_CensusTract_31,0,0
26,11,001,001002,11001001002,10.02,Census Tract 10.02,G5020,S,889721,0,+38.9384216,-077.0788872,3428,1398,2030,68.9,198,183,99,69,428,1135,547,285,77,81,78,154,94,30.2,480,2948,2948,2765,358,326,2948,1209,1739,69.5,326,60,266,22.6,3428,3153,275,3153,2630,203,0,0,0,0,0,296,16,131,66,0,0,60,23,0,0,0,0,0,24,275,45,0,141,0,3428,2905,248,0,437,0,113,3428,472,95,31,9,337,2956,2247,203,0,296,0,24,186,0,186,2199,2534,1080,1454,ACS_Demographic_DC_CensusTract_152,0,0
27,11,001,002302,11001002302,23.02,Census Tract 23.02,G5020,S,2010229,5298,+38.9341270,-077.0095843,1612,937,675,138.8,45,40,39,22,139,350,184,69,67,83,145,185,244,44.6,135,1477,1477,1460,623,574,1477,849,628,135.2,574,459,115,399.1,1612,1563,49,1563,675,736,0,0,0,0,0,66,4,43,19,0,0,0,0,0,0,0,0,0,86,49,34,0,0,1,1612,723,779,9,72,6,86,1612,64,27,7,4,26,1548,662,736,0,66,0,35,49,0,49,950,1364,796,568,ACS_Demographic_DC_CensusTract_35,0,0
28,11,001,000600,11001000600,6,Census Tract 6,G5020,S,1442822,71,+38.9368114,-077.0675114,4966,2195,2771,79.2,209,176,317,51,344,638,613,787,323,339,643,325,201,45.8,737,4264,4229,4175,1411,1169,4229,1902,2327,81.7,1169,529,640,82.7,4966,4814,152,4814,3962,385,0,0,0,0,0,334,200,22,0,69,43,0,0,0,0,0,0,0,133,152,0,0,90,14,4966,4100,447,62,424,0,133,4966,674,108,0,110,456,4292,3508,328,0,334,0,32,90,0,90,2256,3931,1745,2186,ACS_Demographic_DC_CensusTract_72,0,0
29,11,001,002502,11001002502,25.02,Census Tract 25.02,G5020,S,603735,0,+38.9390573,-077.0301448,6734,3495,3239,107.9,512,422,84,111,180,2170,1191,498,408,446,401,208,103,34.6,1018,5716,5716,5605,1001,712,5716,3043,2673,113.8,712,302,410,73.7,6734,6383,351,6383,2113,2261,0,0,0,0,0,274,164,0,23,34,42,0,11,0,0,0,0,0,1735,351,165,50,87,0,6734,2444,2464,68,361,0,1766,6734,2324,381,0,70,1873,4410,1731,2122,0,274,0,0,283,0,283,2641,4693,2492,2201,ACS_Demographic_DC_CensusTract_37,0,0
30,11,001,000902,11001000902,9.02,Census Tract 9.02,G5020,S,1867106,307257,+38.9285125,-077.1077517,2416,1160,1256,92.4,122,182,276,123,32,134,341,451,156,136,277,139,47,45,677,1771,1739,1713,556,463,1739,827,912,90.7,463,219,244,89.8,2416,2269,147,2269,2093,113,0,0,0,0,0,60,18,20,0,0,16,6,0,0,0,0,0,0,3,147,40,0,94,0,2416,2240,166,6,161,0,3,2416,302,39,23,7,233,2114,1829,95,0,60,0,0,130,0,130,865,1615,785,830,ACS_Demographic_DC_CensusTract_5,0,0
31,11,001,002701,11001002701,27.01,Census Tract 27.01,G5020,S,452923,0,+38.9344503,-077.0416857,5802,3001,2801,107.1,491,297,240,175,491,1400,1098,525,361,216,288,139,81,33.2,1145,4748,4657,4599,644,508,4657,2422,2235,108.4,508,207,301,68.8,5802,5565,237,5565,2989,1386,44,0,0,0,0,165,16,41,33,0,22,0,53,0,0,0,0,0,981,237,39,20,26,0,5802,3123,1446,113,294,0,1112,5802,1816,236,62,282,1236,3986,2467,1301,18,121,0,0,79,0,79,2649,3826,1889,1937,ACS_Demographic_DC_CensusTract_47,0,0
32,11,001,000801,11001000801,8.01,Census Tract 8.01,G5020,S,2913353,168211,+38.9221746,-077.0918347,6195,2536,3659,69.3,181,491,198,723,516,488,623,763,406,404,1009,322,71,42.7,1119,5234,5076,4303,1719,1402,5076,1945,3131,62.1,1402,491,911,53.9,6195,5944,251,5944,4760,568,0,0,0,0,0,448,174,101,75,14,21,7,56,0,0,0,0,0,168,251,87,12,71,0,6195,5005,661,12,519,0,249,6195,704,102,122,0,480,5491,4308,568,0,445,0,11,159,13,146,2830,4369,1639,2730,ACS_Demographic_DC_CensusTract_9,0,0
33,11,001,002801,11001002801,28.01,Census Tract 28.01,G5020,S,171910,0,+38.9349477,-077.0345166,4048,1883,2165,87,184,142,229,177,319,1320,780,346,160,177,157,47,10,30.3,701,3389,3347,3204,288,214,3347,1467,1880,78,214,154,60,256.7,4048,3890,158,3890,1452,1461,0,0,0,0,0,157,107,11,7,4,0,15,13,0,0,0,0,0,820,158,0,0,15,26,4048,1489,1571,36,211,0,909,4048,1199,221,91,9,878,2849,1197,1374,0,153,0,0,125,56,69,1829,2524,1124,1400,ACS_Demographic_DC_CensusTract_48,0,0
34,11,001,001600,11001001600,16,Census Tract 16,G5020,S,2665663,35624,+38.9849725,-077.0382324,4959,2481,2478,100.1,313,287,338,386,157,417,611,663,384,328,547,390,138,44.7,1249,3951,3710,3634,1224,1075,3710,1862,1848,100.8,1075,544,531,102.4,4959,4685,274,4685,1471,3010,0,0,0,0,0,116,17,8,16,18,8,0,49,0,0,0,0,0,88,274,109,0,5,34,4959,1653,3211,34,168,0,167,4959,370,168,0,0,202,4589,1297,2996,0,116,0,0,180,0,180,1636,3501,1762,1739,ACS_Demographic_DC_CensusTract_79,0,0
35,11,001,001500,11001001500,15,Census Tract 15,G5020,S,4686643,12091,+38.9741576,-077.0558797,6094,3236,2858,113.2,408,533,678,400,63,195,799,856,338,353,874,304,293,44.8,1933,4411,4161,4061,1715,1471,4161,2174,1987,109.4,1471,803,668,120.2,6094,5939,155,5939,5197,603,0,0,0,0,0,139,52,45,0,0,0,29,13,0,0,0,0,0,0,155,48,0,0,0,6094,5281,758,0,246,0,0,6094,435,0,0,72,363,5659,4762,603,0,139,0,0,155,0,155,2137,3903,2013,1890,ACS_Demographic_DC_CensusTract_6,0,0
36,11,001,010300,11001010300,103,Census Tract 103,G5020,S,1084591,0,+38.9761556,-077.0271875,4162,2002,2160,92.7,159,138,214,302,136,700,550,748,456,312,205,110,132,42.7,774,3557,3388,3319,671,447,3388,1641,1747,93.9,447,189,258,73.3,4162,4010,152,4010,914,2163,0,0,0,0,0,57,16,9,26,0,0,6,0,0,0,0,0,0,876,152,83,0,28,0,4162,1049,2270,24,102,17,876,4162,1085,46,123,55,861,3077,786,2137,0,57,0,0,97,0,97,1378,2880,1289,1591,ACS_Demographic_DC_CensusTract_165,0,0
37,11,001,001702,11001001702,17.02,Census Tract 17.02,G5020,S,939292,0,+38.9717231,-077.0160682,3482,1652,1830,90.3,219,146,157,64,142,714,695,375,206,248,329,111,76,39.4,564,2953,2918,2875,595,516,2918,1358,1560,87.1,516,148,368,40.2,3482,3401,81,3401,1933,1331,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,0,114,81,9,0,0,31,3482,1956,1412,31,59,0,119,3482,381,97,15,15,254,3101,1669,1325,0,23,0,23,61,0,61,1616,2682,1207,1475,ACS_Demographic_DC_CensusTract_164,0,0
38,11,001,001803,11001001803,18.03,Census Tract 18.03,G5020,S,1136289,31934,+38.9672267,-077.0419399,4231,2208,2023,109.1,500,425,174,144,225,565,866,474,215,193,186,153,111,35.6,1236,3108,2995,2908,569,450,2995,1485,1510,98.3,450,168,282,59.6,4231,4137,94,4137,319,2510,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1307,94,0,9,3,34,4231,357,2592,43,30,17,1329,4231,1495,202,34,0,1259,2736,180,2487,0,1,0,22,46,0,46,1739,1835,836,999,ACS_Demographic_DC_CensusTract_119,0,0
39,11,001,001804,11001001804,18.04,Census Tract 18.04,G5020,S,601755,0,+38.9670945,-077.0304334,5894,2651,3243,81.7,659,495,342,121,99,965,933,557,579,419,464,108,153,37.7,1561,4376,4333,4232,992,725,4333,1852,2481,74.6,725,290,435,66.7,5894,5863,31,5863,446,3975,0,0,0,0,0,59,0,0,0,0,11,45,3,0,0,0,0,0,1383,31,0,0,12,0,5894,458,3994,0,90,0,1383,5894,1682,34,0,0,1648,4212,375,3579,0,59,0,168,31,0,31,2264,3333,1451,1882,ACS_Demographic_DC_CensusTract_166,0,0
40,11,001,001401,11001001401,14.01,Census Tract 14.01,G5020,S,788095,0,+38.9653036,-077.0706075,3659,1672,1987,84.1,337,240,271,98,85,442,669,625,91,150,384,213,54,40.1,940,2740,2719,2700,747,651,2719,1269,1450,87.5,651,251,400,62.8,3659,3508,151,3508,2680,265,9,0,0,9,0,316,90,35,159,0,15,1,16,0,0,0,0,0,238,151,36,0,96,0,3659,2831,301,9,412,0,257,3659,585,1,45,11,528,3074,2371,236,9,316,0,10,132,0,132,1457,2345,1166,1179,ACS_Demographic_DC_CensusTract_162,0,0
41,11,001,002001,11001002001,20.01,Census Tract 20.01,G5020,S,632723,1107,+38.9597034,-077.0351061,3490,1636,1854,88.2,448,176,159,190,186,571,383,417,308,257,259,108,28,35.3,937,2639,2553,2473,536,395,2553,1222,1331,91.8,395,176,219,80.4,3490,3425,65,3425,677,1446,0,0,0,0,0,106,25,0,0,0,0,43,38,0,0,0,0,0,1196,65,28,0,13,0,3490,726,1498,0,127,0,1212,3490,1254,124,21,0,1109,2236,397,1419,0,106,0,249,65,8,57,1118,1859,943,916,ACS_Demographic_DC_CensusTract_95,0,0
42,11,001,000300,11001000300,3,Census Tract 3,G5020,S,1010802,2334,+38.9179099,-077.0748728,6585,3024,3561,84.9,503,370,111,76,1139,1804,842,614,271,281,364,210,0,31.2,1025,5601,5560,5453,758,574,5560,2526,3034,83.3,574,208,366,56.8,6585,6466,119,6466,5337,559,0,0,0,0,0,529,107,120,89,39,64,35,75,0,0,0,0,0,41,119,41,0,63,0,6585,5456,600,0,592,0,56,6585,517,70,8,150,289,6068,4820,559,0,529,0,41,119,15,104,2508,5013,2287,2726,ACS_Demographic_DC_CensusTract_62,0,0
43,11,001,008702,11001008702,87.02,Census Tract 87.02,G5020,S,486411,0,+38.9150961,-077.0013085,3337,1310,2027,64.6,153,52,94,82,224,1109,743,320,277,112,106,45,20,34.4,346,3038,2991,2923,225,171,2991,1185,1806,65.6,171,51,120,42.5,3337,3262,75,3262,1352,1661,0,0,0,0,0,160,12,15,6,12,0,28,87,0,0,0,0,0,89,75,27,13,22,0,3337,1427,1688,13,182,0,102,3337,325,158,13,0,154,3012,1130,1651,0,160,0,9,62,0,62,1854,2748,1085,1663,ACS_Demographic_DC_CensusTract_134,0,0
44,11,001,004100,11001004100,41,Census Tract 41,G5020,S,789132,23020,+38.9159337,-077.0516151,2604,1211,1393,86.9,149,47,18,10,76,694,369,250,121,260,454,121,35,41.9,224,2390,2380,2380,749,610,2380,1073,1307,82.1,610,307,303,101.3,2604,2466,138,2466,1981,144,5,0,0,0,0,217,55,27,76,0,31,0,28,0,0,0,0,0,119,138,0,0,93,0,2604,2088,158,5,341,34,130,2604,235,119,35,0,81,2369,1870,144,0,217,0,10,128,11,117,1588,2034,903,1131,ACS_Demographic_DC_CensusTract_112,0,0
45,11,001,004400,11001004400,44,Census Tract 44,G5020,S,521639,0,+38.9170143,-077.0275927,5793,3225,2568,125.6,351,70,1,29,206,2594,1196,670,193,96,188,138,61,33.5,450,5345,5343,5342,442,387,5343,2896,2447,118.3,387,193,194,99.5,5793,5612,181,5612,3868,1163,0,0,0,0,0,398,163,6,77,72,0,16,64,0,0,0,0,0,183,181,35,15,116,15,5793,4034,1213,30,514,0,183,5793,309,47,43,11,208,5484,3735,1145,0,398,0,25,181,0,181,3165,4819,2668,2151,ACS_Demographic_DC_CensusTract_65,0,0
46,11,001,004300,11001004300,43,Census Tract 43,G5020,S,236694,0,+38.9168040,-077.0341511,4088,1855,2233,83.1,223,52,47,18,196,1534,960,350,126,170,259,153,0,34.8,340,3766,3748,3748,448,412,3748,1657,2091,79.2,412,194,218,89,4088,3991,97,3991,2929,686,25,0,25,0,0,164,72,22,22,0,30,18,0,10,0,0,0,10,177,97,0,0,73,0,4088,3002,710,25,261,10,177,4088,561,73,20,8,460,3527,2560,671,25,164,10,0,97,0,97,2476,3285,1472,1813,ACS_Demographic_DC_CensusTract_110,0,0
47,11,001,000802,11001000802,8.02,Census Tract 8.02,G5020,S,1713200,669752,+38.9112783,-077.0871196,3470,1606,1864,86.2,181,194,223,184,143,785,423,471,279,206,150,129,102,35.8,767,2799,2703,2663,487,381,2703,1158,1545,75,381,199,182,109.3,3470,3282,188,3282,2636,305,0,0,0,0,0,264,54,57,92,7,10,34,10,0,0,0,0,0,77,188,51,11,77,0,3470,2775,397,11,349,11,115,3470,474,197,41,9,227,2996,2343,292,0,264,0,0,97,8,89,1458,2320,1020,1300,ACS_Demographic_DC_CensusTract_93,0,0
48,11,001,004201,11001004201,42.01,Census Tract 42.01,G5020,S,204529,0,+38.9162076,-077.0388456,3767,2055,1712,120,268,0,17,0,312,1812,512,339,168,188,50,101,0,31.5,285,3482,3482,3482,233,151,3482,1907,1575,121.1,151,121,30,403.3,3767,3701,66,3701,3166,212,0,0,0,0,0,188,19,57,0,0,45,52,15,0,0,0,0,0,135,66,14,22,30,0,3767,3232,226,22,218,0,135,3767,333,21,14,13,285,3434,2899,199,0,188,0,96,52,0,52,2114,3161,1755,1406,ACS_Demographic_DC_CensusTract_55,0,0
49,11,001,008701,11001008701,87.01,Census Tract 87.01,G5020,S,382686,0,+38.9141018,-077.0062645,2539,1337,1202,111.2,45,90,33,97,153,1017,425,253,101,102,119,40,64,32.5,229,2339,2310,2274,299,223,2310,1209,1101,109.8,223,56,167,33.5,2539,2516,23,2516,1057,1332,0,0,0,0,0,87,40,14,8,0,14,11,0,0,0,0,0,0,40,23,0,12,10,0,2539,1079,1333,12,97,0,41,2539,139,63,28,23,25,2400,995,1299,0,84,0,0,22,0,22,1057,2194,1149,1045,ACS_Demographic_DC_CensusTract_118,0,0
50,11,001,000100,11001000100,1,Census Tract 1,G5020,S,1907609,512798,+38.9060174,-077.0601874,4888,2342,2546,92,242,213,131,60,272,801,712,698,218,447,677,275,142,45.1,622,4279,4266,4167,1306,1094,4266,2134,2132,100.1,1094,604,490,123.3,4888,4797,91,4797,4256,33,0,0,0,0,0,296,172,46,0,0,47,0,31,0,0,0,0,0,212,91,0,0,91,0,4888,4347,33,0,387,0,212,4888,682,144,22,73,443,4206,3739,33,0,296,0,47,91,0,91,2765,3661,1792,1869,ACS_Demographic_DC_CensusTract_102,0,0
51,11,001,009601,11001009601,96.01,Census Tract 96.01,G5020,S,1905262,179134,+38.9091300,-076.9490606,2352,840,1512,55.6,147,133,128,147,261,443,237,269,211,148,141,59,28,33.1,493,1944,1859,1790,318,228,1859,592,1267,46.7,228,77,151,51,2352,2335,17,2335,62,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,4,0,2352,66,2259,13,4,0,27,2352,27,12,0,0,15,2325,62,2259,0,0,0,0,4,0,4,926,1830,592,1238,ACS_Demographic_DC_CensusTract_101,0,0
52,11,001,000202,11001000202,2.02,Census Tract 2.02,G5020,S,776437,428754,+38.9063048,-077.0696362,4709,2325,2384,97.5,131,87,69,384,1418,549,386,341,269,292,541,198,44,27,347,4422,4362,3671,933,783,4362,2153,2209,97.5,783,332,451,73.6,4709,4552,157,4552,3872,301,0,0,0,0,0,262,74,54,10,0,48,31,45,16,0,16,0,0,101,157,54,6,42,0,4709,4019,360,17,320,50,106,4709,426,12,77,76,261,4283,3574,286,0,262,16,0,145,5,140,1824,4017,1987,2030,ACS_Demographic_DC_CensusTract_109,0,0
53,11,001,008803,11001008803,88.03,Census Tract 88.03,G5020,S,1168294,0,+38.9104603,-076.9913622,3312,1991,1321,150.7,134,145,143,467,566,602,422,356,226,136,107,8,0,28.2,554,2859,2758,2271,175,115,2758,1665,1093,152.3,115,56,59,94.9,3312,3160,152,3160,906,1951,0,0,0,0,0,74,17,15,7,0,0,23,12,10,10,0,0,0,219,152,59,12,17,0,3312,1040,2022,12,91,28,271,3312,485,165,98,30,192,2827,716,1917,0,74,10,21,89,6,83,1031,2521,1502,1019,ACS_Demographic_DC_CensusTract_140,0,0
54,11,001,003302,11001003302,33.02,Census Tract 33.02,G5020,S,204237,0,+38.9139237,-077.0111677,2306,1067,1239,86.1,120,32,8,37,99,913,458,359,86,70,104,8,12,33.7,167,2146,2139,2109,160,124,2139,993,1146,86.6,124,49,75,65.3,2306,2252,54,2252,1211,896,3,0,0,0,0,103,15,33,14,0,24,6,11,0,0,0,0,0,39,54,16,0,23,0,2306,1250,927,3,141,0,39,2306,121,6,31,27,57,2185,1124,867,3,103,0,39,49,0,49,1040,2050,946,1104,ACS_Demographic_DC_CensusTract_90,0,0
55,11,001,004202,11001004202,42.02,Census Tract 42.02,G5020,S,207646,0,+38.9134023,-077.0430254,2376,1129,1247,90.5,20,0,0,31,148,1230,213,253,66,180,172,60,3,32.9,23,2353,2353,2325,356,235,2353,1126,1227,91.8,235,112,123,91.1,2376,2300,76,2300,2023,39,0,0,0,0,0,195,53,15,22,6,31,12,56,0,0,0,0,0,43,76,26,5,37,0,2376,2091,73,5,240,0,43,2376,283,103,15,57,108,2093,1805,39,0,180,0,6,63,0,63,1792,2055,986,1069,ACS_Demographic_DC_CensusTract_56,0,0
56,11,001,004801,11001004801,48.01,Census Tract 48.01,G5020,S,317222,0,+38.9117413,-077.0195344,2999,1475,1524,96.8,217,41,51,61,158,1269,489,194,98,90,237,74,20,32.6,353,2688,2646,2629,380,331,2646,1348,1298,103.9,331,103,228,45.2,2999,2920,79,2920,1853,882,0,0,0,0,0,73,27,30,0,0,16,0,0,0,0,0,0,0,112,79,38,12,9,20,2999,1912,940,32,82,0,112,2999,292,47,41,0,204,2707,1647,882,0,65,0,46,67,0,67,1352,2458,1263,1195,ACS_Demographic_DC_CensusTract_67,0,0
57,11,001,004600,11001004600,46,Census Tract 46,G5020,S,437422,0,+38.9097456,-077.0133001,3075,1609,1466,109.8,74,56,84,21,264,923,487,398,183,209,202,102,72,36.4,235,2849,2840,2840,535,376,2840,1545,1295,119.3,376,131,245,53.5,3075,2972,103,2972,1476,1225,0,0,0,0,0,182,27,93,18,9,0,0,35,0,0,0,0,0,89,103,11,0,72,0,3075,1569,1236,0,264,10,99,3075,275,165,15,0,95,2800,1278,1225,0,175,0,19,103,10,93,1530,2784,1534,1250,ACS_Demographic_DC_CensusTract_66,0,0
58,11,001,005500,11001005500,55,Census Tract 55,G5020,S,629389,9350,+38.9077913,-077.0493321,6609,3362,3247,103.5,153,0,197,151,874,1959,1030,827,262,281,541,196,138,34.9,460,6259,6149,5751,1014,875,6149,3333,2816,118.4,875,353,522,67.6,6609,6477,132,6477,5348,433,0,0,0,0,0,544,176,134,0,102,92,0,40,0,0,0,0,0,152,132,0,37,41,0,6609,5426,433,37,639,0,206,6609,661,107,113,18,423,5948,4867,433,0,516,0,0,132,54,78,4664,5406,2823,2583,ACS_Demographic_DC_CensusTract_8,0,0
